text,label,lang,source,link,cleaned_text,processed_text
оборона всу в донецкой области осталась без снарядов и солдат после наступления на курскую область сообщает the financial times издание пишет что эта операция всу наоборот даже ускорила наступление россии на донбассе это произошло в частности изза снятия с этого участка фронта до 10 тысяч украинских военных среди которых и элитные десантноштурмовые подразделения приоритет в обеспечении боеприпасами как и солдатами теперь отдается курскому направлению рассказали ft офицеры переброшенные с донбасса на территорию россии,фейк,rus,Facebook,https://www.facebook.com/permalink.php?story_fbid=122150916200052891&id=61551586741829,the financial times ft,financial times ft
flash colonel macgregor la contreattaque russe transforme koursk en cimetire ukrainien actualits gopolitique russie,правда,fre,Facebook,https://www.facebook.com/watch/?v=8267736883310403,flash colonel macgregor la contreattaque russe transforme koursk en cimetire ukrainien actualits gopolitique russie,flash colonel macgregor la contreattaque russe transforme koursk en cimetire ukrainien actualits gopolitique russie
wer kontrolliert die algorithmen die unser leben beeinflussen algorithmen sind mchtige unsichtbare helfer in unserem alltag sie entscheiden welche filme wir sehen welche nachrichten wir lesen und sogar welche restaurants uns empfohlen werden doch diese macht birgt auch risiken verzerrungen datenschutzprobleme und die gefahr in einer echokammer zu landen wie knnen wir sicherstellen dass diese digitalen wchter ethisch und transparent handeln erfahre mehr ber die unsichtbare macht der algorithmen,фейк,ger,Facebook,https://www.facebook.com/Wissenschaftswelle/posts/pfbid02eW2D5WkjACSAmwACk8mMwqyE2aLLuQktGEXgdiyYYoJq9UZaoXmDw9BvWXx2XAAEl,wer kontrolliert die algorithmen die unser leben beeinflussen algorithmen sind mchtige unsichtbare helfer in unserem alltag sie entscheiden welche filme wir sehen welche nachrichten wir lesen und sogar welche restaurants uns empfohlen werden doch diese macht birgt auch risiken verzerrungen datenschutzprobleme und die gefahr in einer echokammer zu landen wie knnen wir sicherstellen dass diese digitalen wchter ethisch und transparent handeln erfahre mehr ber die unsichtbare macht der algorithmen,wer kontrolliert die algorithmen die unser leben beeinflussen algorithmen sind mchtige unsichtbare helfer unserem alltag sie entscheiden welche filme wir sehen welche nachrichten wir lesen und sogar welche restaurants uns empfohlen werden doch diese macht birgt auch risiken verzerrungen datenschutzprobleme und die gefahr einer echokammer zu landen wie knnen wir sicherstellen dass diese digitalen wchter ethisch und transparent handeln erfahre mehr ber die unsichtbare macht der algorithmen
quick update from ukraine including some stuff on rugby firstly and most importantly thank you new zealand without the support of so many fantastic kiwis who have given so generously our humanitarian work to support ukrainians in need would not be possible thirteen of the 16 ambulances we donated last tuesday have been deployed to medical units and are already working at the front transporting wounded we have kept three ambulances for our roadoflife initiative we already have one which augments our existing health care programme in the red zone and increases our evacuation and hospital transportation capability,правда,eng,Facebook,https://www.facebook.com/TenbyPowellKiwiK.A.R.E/posts/pfbid0XqRFRHtiAXUcoEukpzMzQhkVbFxkNrvW9pTJMwmtAttnbryEUcidT8ymWiW4T5UYl,quick update from ukraine including some stuff on rugby firstly and most importantly thank you new zealand without the support of so many fantastic kiwis who have given so generously our humanitarian work to support ukrainians in need would not be possible thirteen of the ambulances we donated last tuesday have been deployed to medical units and are already working at the front transporting wounded we have kept three ambulances for our roadoflife initiative we already have one which augments our existing health care programme in the red zone and increases our evacuation and hospital transportation capability,quick update ukraine including stuff rugby firstly importantly thank new zealand without support many fantastic kiwis given generously humanitarian work support ukrainians need would possible thirteen ambulances donated last tuesday deployed medical units already working front transporting wounded kept three ambulances roadoflife initiative already one augments existing health care programme red zone increases evacuation hospital transportation capability
reel,фейк,ger,Facebook,https://www.facebook.com/reel/6319655381423078,reel,reel
почему об этом все молчат что ждет план зеленского в сша 816 юрий швец юрийшвец yurishvets украина россия война,фейк,rus,Facebook,https://www.facebook.com/yurishvets303/posts/pfbid02Yi6H1Lq5LRtygLupPMjg8TM2bRkYo2AdWXxjoU19UK5vEMzn6KpQufkVbfp4yaVKl,yurishvets,yurishvets
волонтери та співробітники українського червоного хреста взяли участь у всесвітньому дні прибирання який проводиться в рамках міжнародної ініціативи world cleanup day ця акція обєднує мільйони людей у понад 180 країнах для очищення навколишнього середовища від сміття та підвищення екологічної свідомості учасники акції прибирали парки вулиці та громадські простори в 24 областях по всій україні,правда,ukr,Facebook,https://www.facebook.com/RedCrossUkraine/posts/pfbid02aT7NfaKWEnsVHYF4H4v984EQ6RfArSscQxMyftWabu94Jx9oKnCdnp8hjeX2eJHrl,world cleanup day,world cleanup day
ukrainerussland strategische munitionskrise fr putin in den letzten tagen haben ukrainische drohnenangriffe auf russische munitionsdepots tiefe spuren im russischen kriegsapparat hinterlassen besonders die angriffe auf zwei depots am 21 september 2024 darunter eines mit nordkoreanischen raketen knnten die russischen streitkrfte in eine massive munitionskrise strzen diese attacken zielen auf putins fhigkeit ab seine kriegsmaschinerie am laufen zu halten insbesondere im sden und osten der ukraine militranalysten sprechen von einem verlust von bis zu 40000 tonnen munition was rund 12 des gesamten lagerbestands russlands entspricht,фейк,ger,Facebook,https://www.facebook.com/Wissenschaftswelle/posts/pfbid0FMwTG9iVrpgeJ3qeNEWnyBgjTA8rdgpn4y85bpGdAEm6jVmed4Z8Q1oGMpkekE1sl,ukrainerussland strategische munitionskrise fr putin in den letzten tagen haben ukrainische drohnenangriffe auf russische munitionsdepots tiefe spuren im russischen kriegsapparat hinterlassen besonders die angriffe auf zwei depots am september darunter eines mit nordkoreanischen raketen knnten die russischen streitkrfte in eine massive munitionskrise strzen diese attacken zielen auf putins fhigkeit ab seine kriegsmaschinerie am laufen zu halten insbesondere im sden und osten der ukraine militranalysten sprechen von einem verlust von bis zu tonnen munition was rund des gesamten lagerbestands russlands entspricht,ukrainerussland strategische munitionskrise fr putin den letzten tagen haben ukrainische drohnenangriffe auf russische munitionsdepots tiefe spuren im russischen kriegsapparat hinterlassen besonders die angriffe auf zwei depots september darunter eines mit nordkoreanischen raketen knnten die russischen streitkrfte eine massive munitionskrise strzen diese attacken zielen auf putins fhigkeit ab seine kriegsmaschinerie laufen zu halten insbesondere im sden und osten der ukraine militranalysten sprechen von einem verlust von bis zu tonnen munition rund des gesamten lagerbestands russlands entspricht
опять крот москва знала все о курской операции всу video 817 швец юрийшвец yurishvets украина россия война,фейк,ukr,Facebook,https://www.facebook.com/yurishvets303/posts/pfbid0kB5AwNfqma1yeX9ZmziZt27ouaTHtNtozpugZDvjUbF8ukAwL1aeFTvWGc5L2Hozl,video yurishvets,video yurishvets
a ukrainian air force mig29 has been prepared for a strike mission equipped with a frenchsupplied aasm extendedrange guided bomb france is currently supplying ukraine with over 50 aasm bombs each month as part of its ongoing military support,правда,eng,X.com,https://x.com/GlobalSpotlite/status/1836634060191601057,a ukrainian air force mig has been prepared for a strike mission equipped with a frenchsupplied aasm extendedrange guided bomb france is currently supplying ukraine with over aasm bombs each month as part of its ongoing military support,ukrainian air force mig prepared strike mission equipped frenchsupplied aasm extendedrange guided bomb france currently supplying ukraine aasm bombs month part ongoing military support
